NOI419.0,GPA.223,RC25.14,RC273.38,XR26.19,XR273.52,RCAA-1.84,XR+-1.10,RCWIN-0.21,XRWIN-0.13,BABIP.286
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.41,0.050,15.22,6.23,0.094,49.00,0.159,0.534,2.86,24.5%,
