条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.262,156,145,38,4,0,3,3,27,11,0,0,0,0.314
1塁,0.289,52,45,13,1,0,1,3,5,3,0,4,0,0.333
2塁,0.333,15,12,4,1,0,1,4,1,2,0,1,0,0.429
3塁,0.0,6,5,0,0,0,0,1,3,0,0,0,1,0.0
1・2塁,0.235,21,17,4,0,0,0,3,2,1,1,2,0,0.316
1・3塁,0.143,7,7,1,0,0,0,1,1,0,0,0,0,0.143
2・3塁,0.333,7,6,2,0,1,0,4,2,0,0,0,1,0.286
満塁,0.0,10,8,0,0,0,0,2,3,1,0,0,1,0.1
得点圏,0.2,66,55,11,1,1,1,15,12,4,1,3,3,0.254
