打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,26,10,0.385,1,2,1,0,0,0.407
2打席目,24,6,0.25,1,4,3,0,0,0.333
3打席目,24,5,0.208,0,2,2,1,0,0.269
4打席目,21,4,0.19,1,3,1,3,0,0.227
5打席目以上,11,2,0.182,0,2,1,2,0,0.25
