NOI437.8,GPA.237,RC15.10,RC274.38,XR14.81,XR274.30,RCAA2.93,XR+2.58,RCWIN0.35,XRWIN0.30,BABIP.271
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.049,21.33,8.53,0.149,38.00,0.237,0.667,4.00,18.8%,
