アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,34,37.8%,安打,29,76.3%
フライ,36,40.0%,四死球,8,21.1%
空三振,11,12.2%,失策出塁,1,2.6%
見三振,4,4.4%,野選,0,0.0%
犠打,5,5.6%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
