球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,288,55.2%,152.5,31,40,78,86,51.7%,19.1%,.203,69,14,0,18,7,1
フォーク,189,36.2%,140.4,35,20,28,75,43.9%,37.2%,.275,40,11,0,9,3,0
ナックルカーブ,41,7.9%,115.7,7,9,3,15,46.3%,41.2%,.071,14,1,0,7,0,0
スライダー,4,0.8%,133.8,0,2,0,2,50.0%,-%,-,0,0,0,0,0,0
