NOI147.8,GPA.075,RC-0.91,RC27-1.07,XR-0.69,XR27-0.81,RCAA-3.38,XR+-3.17,RCWIN-0.40,XRWIN-0.37,BABIP.154
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.09,0.037,26.00,2.36,0.000,-,0.042,0.136,-,46.2%,
