アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,46,28.8%,安打,59,68.6%
フライ,69,43.1%,四死球,27,31.4%
空三振,34,21.3%,失策出塁,0,0.0%
見三振,11,6.9%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
