左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
50.0% (87),50.0% (87),50.0% (87),22.4% (39),22.4% (39),22.4% (39),27.6% (48),27.6% (48),27.6% (48)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
60.4% (29),54.5% (6),45.2% (52),31.3% (15),27.3% (3),18.3% (21),8.3% (4),18.2% (2),36.5% (42)
