NOI464.8,GPA.248,RC12.69,RC274.57,XR12.47,XR274.49,RCAA1.86,XR+1.51,RCWIN0.21,XRWIN0.17,BABIP.308
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.46,0.097,8.46,3.93,0.146,32.00,0.281,0.680,0.00,40.0%,
