アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,39,41.1%,安打,21,58.3%
フライ,26,27.4%,四死球,15,41.7%
空三振,22,23.2%,失策出塁,0,0.0%
見三振,3,3.2%,野選,0,0.0%
犠打,5,5.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
