HQS率-,SQS率-,被打率.189,被BABIP.226,被出塁率.286,被長打率.279,K/BB2.27,K/96.96,BB/93.06,HR/90.56,GO/AO1.50,援護率-,IPR3.23,NHB%31.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.42,78.3%,1.74,0.20,3.68,267,3.1,0,0,32.1,10,11,30,
