防御率1.23,試合25,先発0,救援25,連投(試)0,連投(日)0,勝利2,敗戦2,HLD10,Ｓ5,ＨＰ12,ＳＰ7,救勝2,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,29.1,111,437,14.9,19,1,36,4,0,1,0,0,4,4,0.78,-
