NOI160.7,GPA.081,RC-0.69,RC27-0.84,XR-0.49,XR27-0.60,RCAA-3.06,XR+-2.88,RCWIN-0.36,XRWIN-0.34,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.07,0.040,25.00,1.79,0.000,-,0.045,0.150,-,60.0%,
