アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,34,35.1%,安打,20,54.1%
フライ,29,29.9%,四死球,17,45.9%
空三振,20,20.6%,失策出塁,0,0.0%
見三振,12,12.4%,野選,0,0.0%
犠打,2,2.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
