アウト／塁,総計,総計.1,総計.2,単独,単独.1,単独.2,単独.3,単独.4,単独.5,単独.6,単独.7,単独.8,重盗,重盗.1,重盗.2
アウト／塁,総計,総計,総計,3塁,3塁,3塁,1・3塁,1・3塁,1・3塁,2・3塁,2・3塁,2・3塁,1・3塁,2・3塁,満塁
アウト／塁,成功,失敗,成功率,成功,失敗,成功率,成功,失敗,成功率,成功,失敗,成功率,成功数,成功数,成功数
0アウト,,,,,,,,,,,,,,,
1アウト,,,,,,,,,,,,,,,
2アウト,,,,,,,,,,,,,,,
