球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,84,53.8%,142.4,2,15,12,45,34.5%,8.3%,0.091,11,1,0,1,6,1
スライダー,24,15.4%,120.5,0,6,2,10,33.3%,0.0%,0.167,6,1,0,1,0,0
チェンジアップ,24,15.4%,121.5,6,3,5,5,58.3%,37.5%,0.125,8,1,0,3,0,0
カットボール,24,15.4%,132.4,2,1,2,13,20.8%,20.0%,0.286,7,2,1,1,0,1
