HQS率0.0%,SQS率0.0%,被打率.156,被BABIP.154,被出塁率.317,被長打率.281,K/BB1.00,K/96.00,BB/96.00,HR/91.00,GO/AO0.31,援護率19.80,IPR1.33,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.51,51.7%,-3.66,-0.42,-2.96,37,4.0,5,11,4.0,3,0,0,
