条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.217,71,60,13,1,0,0,0,16,10,1,0,0,0.338
1塁,0.158,22,19,3,1,0,0,1,4,0,0,3,0,0.158
2塁,0.3,12,10,3,1,1,0,3,3,1,0,1,0,0.364
3塁,0.5,3,2,1,0,0,0,2,1,0,0,0,1,0.333
1・2塁,0.2,7,5,1,0,0,0,0,0,2,0,0,0,0.429
1・3塁,0.0,5,3,0,0,0,0,1,2,1,0,0,1,0.2
2・3塁,0.5,2,2,1,0,1,0,2,1,0,0,0,0,0.5
満塁,0.0,8,7,0,0,0,0,1,4,0,1,0,0,0.125
得点圏,0.207,37,29,6,1,2,0,9,11,4,1,1,2,0.306
