条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.198,106,86,17,2,2,0,27,12,2,4,2
対左投手,0.227,24,22,5,1,0,0,4,2,0,0,0
