打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,26,3,0.115,0,10,4,0,1,0.226
2打席目,25,5,0.2,0,1,4,2,0,0.31
3打席目,24,7,0.292,0,10,3,1,0,0.37
4打席目,13,3,0.231,0,5,1,0,0,0.286
5打席目以上,3,0,0.0,0,0,0,0,0,0.0
