球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,74,47.7%,146.4,5,15,18,24,51.4%,14.3%,0.278,18,5,0,7,2,0
スライダー,32,20.6%,128.8,3,10,3,13,50.0%,33.3%,0.25,4,1,0,1,1,0
フォーク,24,15.5%,138.7,9,1,4,6,58.3%,52.9%,0.1,10,1,1,6,0,0
カーブ,18,11.6%,123.7,3,8,0,5,61.1%,60.0%,0.0,3,0,0,1,0,0
カットボール,7,4.5%,133.0,2,1,2,2,71.4%,50.0%,0.0,1,0,0,1,0,0
