条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.29,230,207,60,4,3,6,38,14,3,5,1
対左打者,0.327,227,205,67,15,1,5,39,19,1,1,1
