条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,1,1,0,0,0,0,0,2,0,0,0,6
敗戦,6,8,1,4,4,3,7,0,0,0,0,0,33
勝敗無,3,0,1,0,3,2,1,0,0,0,0,0,10
