HQS率44.0%,SQS率44.0%,被打率.252,被BABIP.299,被出塁率.312,被長打率.332,K/BB2.38,K/96.24,BB/92.63,HR/90.38,GO/AO1.26,援護率3.26,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.89,80.3%,12.07,1.40,11.50,603,0.0,174,63,0.0,0,0,0,
