打率.186,試合54,打席130,打数118,得点12,安打22,内安2,内安率9.1,２Ｂ4,３Ｂ1,本塁3,HR勝敗1-2-0,塁打37,打点6,三振31
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
8,1,1,2,1,1,1,50.0,4,0,2,.045,.242,.314,.556
