HQS率-,SQS率-,被打率.188,被BABIP.246,被出塁率.262,被長打率.280,K/BB3.00,K/99.29,BB/93.10,HR/90.52,GO/AO1.23,援護率-,IPR3.74,NHB%45.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.43,80.3%,5.00,0.59,4.28,497,6.2,0,0,52.1,14,25,46,
