HQS率0.0%,SQS率0.0%,被打率.315,被BABIP.349,被出塁率.374,被長打率.411,K/BB1.33,K/95.05,BB/93.79,HR/90.50,GO/AO0.84,援護率5.25,IPR99.00,NHB%66.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.61,67.0%,-8.74,-1.01,-8.95,137,0.0,36,21,3.0,0,2,3,
