打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,24,3,0.125,1,8,2,0,0,0.192
2打席目,22,5,0.227,0,3,2,2,0,0.292
3打席目,21,4,0.19,0,4,4,1,0,0.32
4打席目,17,6,0.353,2,2,2,0,0,0.421
5打席目以上,3,0,0.0,0,2,0,1,0,0.0
