NOI351.7,GPA.188,RC8.16,RC272.16,XR8.74,XR272.31,RCAA-4.39,XR+-3.87,RCWIN-0.52,XRWIN-0.46,BABIP.226
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.21,0.064,22.00,4.55,0.103,38.67,0.147,0.448,0.00,28.8%,
