アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,30,30.3%,安打,22,66.7%
フライ,34,34.3%,四死球,10,30.3%
空三振,25,25.3%,失策出塁,1,3.0%
見三振,4,4.0%,野選,0,0.0%
犠打,6,6.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
