左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
47.7% (41),47.7% (41),47.7% (41),22.1% (19),22.1% (19),22.1% (19),30.2% (26),30.2% (26),30.2% (26)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
31.6% (6),100.0% (3),50.0% (32),36.8% (7),0.0% (0),18.8% (12),31.6% (6),0.0% (0),31.3% (20)
