防御率2.08,試合50,先発1,救援49,連投(試)3,連投(日)2,勝利2,敗戦4,HLD20,Ｓ12,ＨＰ21,ＳＰ13,救勝1,救敗4,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,56.1,227,853,15.1,37,3,47,16,2,5,3,0,14,13,0.94,0.0%
