HQS率0.0%,SQS率0.0%,被打率.185,被BABIP.225,被出塁率.261,被長打率.285,K/BB2.94,K/97.51,BB/92.56,HR/90.48,GO/AO0.83,援護率9.00,IPR3.67,NHB%38.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.77,81.8%,6.94,0.80,6.03,509,8.2,6,6,51.1,14,19,40,
