アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,41,32.3%,安打,35,77.8%
フライ,45,35.4%,四死球,6,13.3%
空三振,22,17.3%,失策出塁,2,4.4%
見三振,11,8.7%,野選,2,4.4%
犠打,8,6.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
