打率.224,試合85,打席170,打数156,得点22,安打35,内安3,内安率8.6,２Ｂ2,３Ｂ3,本塁1,HR勝敗1-0-0,塁打46,打点18,三振33
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
5,0,1,8,0,6,4,60.0,0,0,5,.289,.253,.295,.548
