打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.186,39,64,59,6,11,0,0,0,11,6,12,3,0,1,1,0,2,3,0,0.238,0.186,0.425
Visitor,0.247,46,106,97,16,24,2,3,1,35,12,21,2,0,0,7,0,4,1,0,0.263,0.361,0.623
