HQS率0.0%,SQS率0.0%,被打率.333,被BABIP.333,被出塁率.533,被長打率.333,K/BB0.25,K/93.38,BB/913.50,HR/90.00,GO/AO2.00,援護率9.00,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
7.65,87.5%,-0.03,-0.00,-0.12,8,0.0,2,2,0.0,0,0,0,
