NOI275.4,GPA.154,RC0.65,RC270.88,XR0.56,XR270.76,RCAA-1.53,XR+-1.63,RCWIN-0.18,XRWIN-0.19,BABIP.190
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,11.50,0.130,-,0.130,0.350,-,8.7%,
