NOI379.9,GPA.201,RC3.85,RC272.21,XR4.00,XR272.30,RCAA-1.95,XR+-1.83,RCWIN-0.23,XRWIN-0.22,BABIP.317
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.047,15.25,3.81,0.071,-,0.143,0.457,-,32.8%,
