条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,.290,33,31,9,2,0,0,0,12,2,0,0,0,.333
1塁,.000,13,12,0,0,0,0,0,2,1,0,0,0,.077
2塁,.000,2,2,0,0,0,0,0,0,0,0,0,0,.000
3塁,-,0,0,0,0,0,0,0,0,0,0,0,0,-
1・2塁,.500,7,6,3,1,0,0,2,0,1,0,0,0,.571
1・3塁,.000,1,1,0,0,0,0,0,1,0,0,0,0,.000
2・3塁,.333,3,3,1,1,0,0,1,0,0,0,0,0,.333
満塁,.000,2,1,0,0,0,0,1,1,0,0,0,1,.000
得点圏,.308,15,13,4,2,0,0,4,2,1,0,0,1,.333
