左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
20.0% (1),20.0% (1),20.0% (1),40.0% (2),40.0% (2),40.0% (2),40.0% (2),40.0% (2),40.0% (2)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
50.0% (1),- (0),0.0% (0),0.0% (0),- (0),66.7% (2),50.0% (1),- (0),33.3% (1)
