球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,242,40.5%,147.6,12,33,70,81,47.5%,9.4%,.241,54,13,2,9,7,4
スライダー,100,16.7%,129.9,10,17,17,42,44.0%,24.4%,.267,15,4,2,2,3,0
カットボール,66,11.0%,137.1,10,13,19,18,63.6%,28.6%,.250,8,2,0,2,1,0
チェンジアップ,43,7.2%,131.4,4,7,6,17,39.5%,21.1%,.167,12,2,0,3,2,0
フォーク,42,7.0%,136.1,2,5,9,18,38.1%,10.5%,.200,10,2,0,2,2,0
カーブ,29,4.8%,118.3,1,8,4,12,44.8%,11.1%,.250,4,1,0,0,0,0
ツーシーム,28,4.7%,139.5,1,7,5,9,46.4%,8.3%,.333,6,2,1,0,0,0
スプリット,19,3.2%,140.0,2,3,2,8,36.8%,25.0%,.600,5,3,0,1,0,0
ナックルカーブ,12,2.0%,126.8,0,3,0,7,25.0%,0.0%,1.000,2,2,0,0,0,0
シュート,7,1.2%,146.3,2,1,1,1,57.1%,40.0%,.333,3,1,0,1,0,0
シンカー,5,0.8%,130.7,0,3,0,1,60.0%,0.0%,.000,1,0,0,0,0,0
スラーブ,4,0.7%,119.0,0,2,1,1,75.0%,0.0%,-,0,0,0,0,0,0
パーム,1,0.2%,118.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
