HQS率-,SQS率-,被打率.125,被BABIP.167,被出塁率.222,被長打率.125,K/BB2.00,K/97.71,BB/93.86,HR/90.00,GO/AO0.00,援護率-,IPR2.33,NHB%50.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.31,50.0%,-0.13,-0.02,-0.21,7,1.1,0,0,2.1,1,1,1,
