条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.183,105,93,17,2,0,1,28,8,1,3,0
対左打者,0.29,109,100,29,5,0,2,30,5,0,1,3
