防御率2.89,試合55,先発0,救援55,連投(試)0,連投(日)0,勝利0,敗戦5,HLD32,Ｓ13,ＨＰ32,ＳＰ13,救勝0,救敗5,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,53.0,214,823,15.5,46,3,58,13,2,1,0,0,17,17,1.11,-
