HQS率0.0%,SQS率0.0%,被打率.261,被BABIP.294,被出塁率.313,被長打率.361,K/BB2.56,K/95.59,BB/92.18,HR/90.68,GO/AO1.90,援護率4.17,IPR4.94,NHB%29.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.38,82.7%,3.96,0.47,2.80,228,5.0,41,19,29.2,6,5,15,
