球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,392,38.4%,141.6,9,98,59,146,42.3%,6.1%,.284,88,25,3,12,4,0
カットボール,169,16.6%,136.4,19,29,36,47,49.7%,20.4%,.209,43,9,1,5,6,0
スライダー,161,15.8%,128.8,22,33,30,46,52.8%,26.8%,.250,40,10,1,12,4,0
フォーク,152,14.9%,136.0,22,7,18,69,30.9%,28.9%,.178,45,8,0,10,2,1
カーブ,123,12.1%,115.4,6,41,19,37,53.7%,13.3%,.421,19,8,0,1,0,0
ツーシーム,21,2.1%,141.2,2,5,4,5,52.4%,18.2%,.500,6,3,0,1,0,2
チェンジアップ,2,0.2%,120.5,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
