HQS率-,SQS率-,被打率.275,被BABIP.324,被出塁率.373,被長打率.431,K/BB2.00,K/98.76,BB/94.38,HR/91.46,GO/AO0.41,援護率-,IPR1.37,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.88,67.7%,-4.52,-0.53,-3.93,37,3.1,0,0,12.1,9,2,7,
