チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
阪神,0.00,4,0,4,0,0,0,0,0,0,0,0,4.0,3,0,3,2,1,0,0,1.25,0.2,-,99.00
ＤｅＮＡ,9.00,3,0,3,0,0,0,0,0,0,0,0,3.0,4,1,3,2,0,3,3,2.0,0.333,-,1.00
広島,10.80,1,0,1,0,0,0,0,0,0,0,0,1.2,2,0,2,1,0,2,2,1.8,0.286,-,0.83
ヤクルト,7.36,2,0,2,0,0,0,0,0,0,0,0,3.2,5,1,4,1,1,4,3,1.64,0.294,-,0.92
中日,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
