NOI309.7,GPA.166,RC3.13,RC271.69,XR3.69,XR271.99,RCAA-3.07,XR+-2.58,RCWIN-0.36,XRWIN-0.30,BABIP.267
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.009,-,3.94,0.049,61.00,0.082,0.388,1.33,27.0%,
