アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,15,31.3%,安打,13,86.7%
フライ,17,35.4%,四死球,1,6.7%
空三振,14,29.2%,失策出塁,1,6.7%
見三振,2,4.2%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
