左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
27.3% (12),27.3% (12),27.3% (12),27.3% (12),27.3% (12),27.3% (12),45.5% (20),45.5% (20),45.5% (20)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),0.0% (0),38.7% (12),50.0% (6),0.0% (0),19.4% (6),50.0% (6),100.0% (1),41.9% (13)
