NOI396.7,GPA.204,RC30.07,RC273.12,XR31.10,XR273.23,RCAA-5.07,XR+-4.46,RCWIN-0.59,XRWIN-0.52,BABIP.274
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.62,0.093,8.93,5.49,0.040,299.00,0.241,0.568,1.93,29.7%,
