NOI402.3,GPA.215,RC41.90,RC273.36,XR43.19,XR273.46,RCAA-3.38,XR+-2.62,RCWIN-0.39,XRWIN-0.30,BABIP.308
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.24,0.029,23.00,5.61,0.079,143.33,0.142,0.530,4.20,22.8%,
