打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,104,28,0.269,0,21,3,0,1,0.287
2打席目,105,26,0.248,2,19,3,0,0,0.269
3打席目,98,30,0.306,0,16,5,0,2,0.333
4打席目,82,18,0.22,1,20,7,0,4,0.269
5打席目以上,30,8,0.267,0,3,3,0,0,0.333
