防御率2.92,試合25,先発13,救援12,連投(試)0,連投(日)0,勝利3,敗戦5,HLD1,Ｓ1,ＨＰ2,ＳＰ2,救勝1,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.375,83.1,355,1270,15.2,83,7,42,23,1,3,1,0,30,27,1.27,30.8%
