HQS率7.7%,SQS率7.7%,被打率.260,被BABIP.277,被出塁率.312,被長打率.382,K/BB1.83,K/94.54,BB/92.48,HR/90.76,GO/AO0.66,援護率2.36,IPR11.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.72,79.6%,0.97,0.11,1.14,300,1.0,61,16,23.1,2,0,11,
