球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,10,66.7%,148.9,2,3,0,4,50.0%,66.7%,.000,2,0,0,1,0,0
スライダー,4,26.7%,130.0,0,1,0,2,25.0%,0.0%,.000,1,0,0,0,0,0
チェンジアップ,1,6.7%,130.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
