打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,30,5,0.167,0,4,5,0,1,0.278
2打席目,34,9,0.265,0,8,2,0,0,0.306
3打席目,30,6,0.2,0,3,3,1,0,0.273
4打席目,21,4,0.19,1,2,4,0,0,0.32
5打席目以上,8,2,0.25,0,1,1,0,0,0.333
