防御率2.59,試合47,先発0,救援47,連投(試)0,連投(日)0,勝利2,敗戦2,HLD10,Ｓ0,ＨＰ12,ＳＰ2,救勝2,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,41.2,180,681,16.3,40,1,41,13,0,2,1,0,15,12,1.27,-
