NOI380.8,GPA.195,RC2.51,RC272.42,XR2.55,XR272.46,RCAA-1.10,XR+-1.08,RCWIN-0.13,XRWIN-0.13,BABIP.389
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.070,12.67,3.17,0.000,-,0.100,0.435,-,39.5%,
