打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,71,17,0.239,2,18,4,1,0,0.28
2打席目,71,16,0.225,1,10,3,1,1,0.253
3打席目,54,8,0.148,0,20,4,9,1,0.203
4打席目,26,7,0.269,0,11,5,4,0,0.387
5打席目以上,4,1,0.25,0,0,1,1,0,0.4
