NOI370.9,GPA.197,RC17.65,RC272.29,XR18.36,XR272.38,RCAA-8.02,XR+-7.44,RCWIN-0.94,XRWIN-0.88,BABIP.287
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.22,0.050,19.29,4.29,0.077,78.33,0.132,0.453,0.00,29.6%,
